"Search Parameters";"Volcano Name";"Country";"Latitude";"Longitude";"Elevation (m)";""
"";"St. Andrew Strait";"Papua New Guinea";"-2.38";"147.35";"270";""
"";"Baluan";"United States";"-2.57";"147.28";"254";""
"";"Central Bismarck Sea";"United States";"-3.03";"147.78";"-1300";""
"";"Dacht-I-Navar Group";"Afghanistan";"33.95";"67.92";"3800";""
"";"Vakak Group";"Afghanistan";"34.25";"67.97";"3190";""
"";"Karisimbi";"Congo, DRC";"-1.506";"29.45";"4490";""
"";"May-ya-moto";"Congo, DRC";"-0.93";"29.33";"950";""
"";"Nyamulagira";"Congo, DRC";"-1.408";"29.2";"3058";""
"";"Nyiragongo";"Congo, DRC";"-1.52";"29.25";"3470";""
"";"Tshibinda";"Congo, DRC";"-2.32";"28.75";"1460";""
"";"Visoke";"Rwanda";"-1.458";"29.485";"3696";""
"";"Bufumbira";"Uganda";"-1.304";"29.683";"2100";""
"";"Bunyaruguru";"Uganda";"-0.2";"30.08";"1554";""
"";"Fort Portal";"Uganda";"0.7";"30.25";"1615";""
"";"Katunga";"Uganda";"-0.471";"30.191";"1707";""
"";"Katwe-Kikorongo";"Uganda";"-0.08";"29.92";"1067";""
"";"Kyatwa";"Uganda";"0.45";"30.25";"1430";""
"";"Muhavura";"Uganda";"-1.383";"29.678";"4103";""
"";"Barrier, The";"Kenya";"2.32";"36.57";"1032";""
"";"Chyulu Hills";"Kenya";"-2.68";"37.88";"2188";""
"";"Eburru, Ol Doinyo";"Kenya";"-0.65";"36.22";"2856";""
"";"Elmenteita Badlands";"Kenya";"-0.546";"36.249";"2126";""
"";"Emuruangogolak";"Kenya";"1.5";"36.33";"1285";""
"";"Homa Mountain";"Kenya";"-0.38";"34.5";"1751";""
"";"Korosi";"Kenya";"0.77";"36.12";"1446";""
"";"Lake Turkana Central Island";"Kenya";"3.496";"36.04";"518";""
"";"Lake Turkana North Island";"Kenya";"4.063";"36.046";"490";""
"";"Lake Turkana South Island";"Kenya";"2.636";"36.596";"800";""
"";"Longonot";"Kenya";"-0.914";"36.446";"2776";""
"";"Marsabit";"Kenya";"2.32";"37.97";"1707";""
"";"Mega Volcanic Field";"Kenya";"3.971";"38.213";"1500";""
"";"Menengai";"Kenya";"-0.2";"36.07";"2278";""
"";"Namarunu";"Kenya";"1.98";"36.43";"817";""
"";"Nyambeni Hills";"Kenya";"0.23";"37.87";"750";""
"";"Ol Kokwe";"Kenya";"0.62";"36.075";"1130";""
"";"Olkaria";"Kenya";"-0.904";"36.292";"2434";""
"";"Paka";"Kenya";"0.92";"36.18";"1697";""
"";"Segererua Plateau";"Kenya";"1.57";"37.9";"699";""
"";"Silali";"Kenya";"1.15";"36.23";"1528";""
"";"Suswa";"Kenya";"-1.151";"36.357";"2356";""
"";"Igwisi Hills";"Tanzania";"-4.889";"31.933";"1146";""
"";"Izumbwe-Mpoli";"Tanzania";"-8.93";"33.4";"1568";""
"";"Kilimanjaro";"Tanzania";"-3.07";"37.35";"5895";""
"";"Kyejo";"Tanzania";"-9.229";"33.792";"2176";""
"";"Lengai, Ol Doinyo";"Tanzania";"-2.764";"35.914";"2962";""
"";"Meru";"Tanzania";"-3.244";"36.75";"4550";""
"";"Ngozi";"Tanzania";"-9.004";"33.552";"2614";""
"";"Rungwe";"Tanzania";"-9.135";"33.668";"2953";""
"";"SW Usangu Basin";"Tanzania";"-8.75";"33.8";"2179";""
"";"Unnamed";"Tanzania";"-8.63";"33.57";"0";""
"";"Atakor Volcanic Field";"Algeria";"23.33";"5.83";"2918";""
"";"In Ezzane Volc Field";"Algeria";"23";"10.833";"";""
"";"Manzaz Volcanic Field";"Algeria";"23.92";"5.83";"1672";""
"";"Tahalra Volcanic Field";"Algeria";"22.67";"5";"1467";""
"";"Koussi, Emi";"Chad";"19.8";"18.53";"3415";""
"";"Todra Volcanic Field";"Chad";"17.68";"8.5";"1780";""
"";"Toh, Tarso";"Chad";"21.33";"16.33";"2000";""
"";"Tousside, Tarso";"Chad";"21.03";"16.45";"3265";""
"";"Voon, Tarso";"Chad";"20.92";"17.28";"3100";""
"";"Haruj";"Libya";"27.25";"17.5";"1200";""
"";"Wau-en-Namus";"Libya";"25.05";"17.55";"547";""
"";"Tin Zaouatene Volcanic Field";"Mali";"19.83";"2.83";"700";""
"";"Bayuda Volcanic Field";"Sudan";"18.33";"32.75";"670";""
"";"Kutum Volcanic Field";"Sudan";"14.57";"25.85";"1779";""
"";"Marra, Jebel";"Sudan";"12.95";"24.27";"3042";""
"";"Meidob Volcanic Field";"Sudan";"15.32";"26.47";"2000";""
"";"Umm Arafieb, Jebel";"Sudan";"18.17";"33.83";"0";""
"";"Ardoukoba";"Djibouti";"11.58";"42.47";"298";""
"";"Mousa Alli";"Djibouti";"12.469";"42.404";"1993";""
"";"Alid";"Eritrea";"14.88";"39.92";"904";""
"";"Assab Volcanic Field";"Eritrea";"12.95";"42.43";"987";""
"";"Dubbi";"Eritrea";"13.579";"41.809";"1625";""
"";"Gufa";"Eritrea";"12.55";"42.53";"600";""
"";"Jalua";"Eritrea";"15.042";"39.82";"713";""
"";"Nabro";"Eritrea";"13.37";"41.7";"2218";""
"";"Adwa";"Ethiopia";"10.063";"40.831";"1670";""
"";"Afdera";"Ethiopia";"13.088";"40.853";"1250";""
"";"Alayta";"Ethiopia";"12.888";"40.573";"1496";""
"";"Ale Bagu";"Ethiopia";"13.512";"40.631";"988";""
"";"Alu-Dalafilla";"Ethiopia";"13.793";"40.553";"578";""
"";"Aluto";"Ethiopia";"7.77";"38.78";"2335";""
"";"Asavyo";"Ethiopia";"13.098";"41.599";"1338";""
"";"Ayelu";"Ethiopia";"10.082";"40.702";"2145";""
"";"Beru";"Ethiopia";"8.95";"39.75";"1100";""
"";"Bilate River Field";"Ethiopia";"7.07";"38.1";"1700";""
"";"Bishoftu Volcanic Field";"Ethiopia";"8.78";"38.98";"1850";""
"";"Bora Ale";"Ethiopia";"13.725";"40.6";"668";""
"";"Bora-Bericcio";"Ethiopia";"8.221";"39.05";"2267";""
"";"Bora-Bericha-Tullu Moye";"Ethiopia";"8.211";"39.081";"2345";""
"";"Borawli";"Ethiopia";"13.304";"40.987";"784";""
"";"Borawli Complex";"Ethiopia";"11.63";"41.45";"875";""
"";"Boset";"Ethiopia";"8.558";"39.475";"2447";""
"";"Butajiri-Silti Field";"Ethiopia";"8.05";"38.35";"2281";""
"";"Chiracha";"Ethiopia";"6.65";"38.12";"1636";""
"";"Corbetti";"Ethiopia";"7.193";"38.39";"2289";""
"";"Dabbahu";"Ethiopia";"12.595";"40.48";"1401";""
"";"Dabbayra";"Ethiopia";"12.38";"40.07";"1302";""
"";"Dalaffilla";"Ethiopia";"13.792";"40.55";"613";""
"";"Dallol";"Ethiopia";"14.242";"40.3";"-48";""
"";"Dama Ali";"Ethiopia";"11.28";"41.63";"1068";""
"";"Dofan";"Ethiopia";"9.35";"40.13";"1151";""
"";"East Chamo Basin";"Ethiopia";"5.708";"37.713";"1150";""
"";"East Ziway";"Ethiopia";"7.874";"38.902";"1889";""
"";"Erta Ale";"Ethiopia";"13.601";"40.666";"585";""
"";"Fentale";"Ethiopia";"8.985";"39.906";"2007";""
"";"Gabillema";"Ethiopia";"11.08";"41.27";"1459";""
"";"Gada Ale";"Ethiopia";"13.975";"40.408";"287";""
"";"Gedemsa";"Ethiopia";"8.363";"39.172";"1909";""
"";"Groppo";"Ethiopia";"11.816";"40.242";"852";""
"";"Hayli Gubbi";"Ethiopia";"13.51";"40.722";"493";""
"";"Hertali";"Ethiopia";"9.78";"40.33";"900";""
"";"Hobicha Caldera";"Ethiopia";"6.78";"37.83";"1800";""
"";"Kone";"Ethiopia";"8.811";"39.695";"1380";""
"";"Korath Range";"Ethiopia";"5.117";"35.892";"912";""
"";"Kurub";"Ethiopia";"11.88";"41.208";"625";""
"";"Liado Hayk";"Ethiopia";"9.57";"40.28";"878";""
"";"Ma Alalta";"Ethiopia";"13.013";"40.185";"1745";""
"";"Mallahle";"Ethiopia";"13.27";"41.65";"1875";""
"";"Manda Hararo";"Ethiopia";"12.17";"40.82";"600";""
"";"Manda-Inakir";"Ethiopia";"12.38";"42.2";"600";""
"";"Mat Ala";"Ethiopia";"13.106";"41.161";"493";""
"";"Melkassa";"Ethiopia";"8.43";"39.35";"1765";""
"";"Northern Lake Abaya Volcanic Field";"Ethiopia";"6.76";"37.97";"1594";""
"";"Shala";"Ethiopia";"7.457";"38.557";"2075";""
"";"Sork Ale";"Ethiopia";"13.18";"41.725";"1611";""
"";"Tat Ali";"Ethiopia";"13.284";"41.063";"655";""
"";"Tepi";"Ethiopia";"7.42";"35.43";"2728";""
"";"Tosa Sucha";"Ethiopia";"5.92";"37.57";"1650";""
"";"Unnamed";"Ethiopia";"8.7";"39.63";"1300";""
"";"Unnamed";"Ethiopia";"8.62";"38.95";"1800";""
"";"Unnamed";"Ethiopia";"8.013";"39.062";"1886";""
"";"Yangudi";"Ethiopia";"10.58";"41.042";"1383";""
"";"Cameroon";"Cameroon";"4.203";"9.17";"4095";""
"";"Manengouba";"Cameroon";"5.03";"9.83";"2411";""
"";"Ngaoundere Plateau";"Cameroon";"7.25";"13.67";"0";""
"";"Oku Volcanic Field";"Cameroon";"6.25";"10.5";"3011";""
"";"Tombel Graben";"Cameroon";"4.758";"9.717";"500";""
"";"San Carlos";"Equatorial Guinea";"3.35";"8.52";"2260";""
"";"San Joaquin";"Equatorial Guinea";"3.35";"8.63";"2009";""
"";"Santa Isabel";"Equatorial Guinea";"3.588";"8.762";"2999";""
"";"Biu Plateau";"Nigeria";"10.75";"12";"0";""
"";"Sao Tome";"Sao Tome & Principe";"0.32";"6.72";"2024";""
"";"Aniakchak";"United States";"56.88";"-158.17";"1341";""
"";"Black Peak";"United States";"56.552";"-158.785";"1032";""
"";"Chiginagak";"United States";"57.135";"-156.99";"2221";""
"";"Dana";"United States";"55.641";"-161.214";"1354";""
